"","id","chart_date","target_rank","actual_rank","title","artist","peak_rank","weeks_on_chart","genre"
"303",444,"1971-01-09",31,29,"I Really Don't Want To Know","Elvis Presley",21,9,"Pop"
"304",445,"1975-05-03",43,43,"Old Days","Chicago",5,11,"Rock"
"305",446,"1974-12-14",44,42,"Back Home Again","John Denver",5,16,"Country"
"306",448,"1984-05-26",22,22,"Jump (for My Love)","The Pointer Sisters",3,24,"R&B/Soul"
"307",450,"1981-08-22",6,5,"Jessie's Girl","Rick Springfield",1,32,"Pop"
"308",451,"1989-03-11",83,81,"Got It Made","Crosby, Stills, Nash",69,8,"Rock"
"309",452,"1989-07-15",65,64,"Don't Say You Love Me","Billy Squier",58,15,"Rock"
"310",454,"1974-09-07",10,11,"Feel Like Makin' Love","Roberta Flack",1,16,"R&B/Soul"
"311",455,"1962-06-09",31,32,"Walk On The Wild Side (Part 1)","Jimmy Smith",21,11,"Jazz"
"312",456,"1978-07-22",94,96,"With A Little Luck","Paul McCartney",1,18,"Pop"
"313",457,"1964-06-13",76,78,"Not Fade Away","The Rolling Stones",48,13,"Rock"
"314",458,"1986-03-08",37,38,"Addicted To Love","Robert Palmer",1,22,"Rock"
"315",461,"1963-03-30",54,56,"On Broadway","The Drifters",9,10,"R&B/Soul"
"316",463,"1982-08-21",78,78,"Seasons Of The Heart","John Denver",78,5,"Pop"
"317",464,"1984-09-15",39,39,"Flesh For Fantasy","Billy Idol",29,12,"Rock"
"318",465,"1987-07-11",52,52,"Give To Live","Sammy Hagar",23,17,"Rock"
"319",467,"1967-05-20",73,73,"Little Bit O' Soul","The Music Explosion",2,16,"Rock"
"320",468,"1966-08-20",41,42,"Ain't Too Proud To Beg","The Temptations",13,13,"R&B/Soul"
"321",469,"1988-07-02",56,56,"In Your Soul","Corey Hart",38,10,"Pop"
"322",471,"1964-01-04",15,14,"As Usual","Brenda Lee",12,11,"Pop"
"323",472,"1978-01-28",43,44,"Sweet Music Man","Kenny Rogers",44,8,"Country"
"324",473,"1969-10-25",13,13,"Come Together","The Beatles",1,16,"Rock"
"325",474,"1969-10-18",83,84,"Silver Threads And Golden Needles","The Cowsills",74,7,"Pop"
"326",475,"1980-01-05",56,56,"Daydream Believer","Anne Murray",12,17,"Pop"
"327",476,"1991-08-24",19,18,"I Adore Mi Amor","Color Me Badd",1,20,"R&B/Soul"
"328",477,"1967-08-26",18,18,"Carrie-Anne","The Hollies",9,13,"Pop"
"329",478,"1978-12-02",65,65,"One Last Kiss","The J. Geils Band",35,13,"Rock"
"330",479,"1964-11-21",56,56,"Wendy","The Beach Boys",44,6,"Rock"
"331",480,"1981-06-27",49,50,"Give It To Me Baby","Rick James",40,14,"R&B/Soul"
"332",481,"1969-03-22",17,17,"Baby, Baby Don't Cry","The Miracles",8,14,"R&B/Soul"
"333",482,"1981-08-15",62,61,"I'm In Love","Evelyn ""Champagne"" King",40,14,"R&B/Soul"
"334",483,"1973-06-16",13,11,"Right Place Wrong Time","Dr. John",9,20,"R&B/Soul"
"335",484,"1962-07-07",65,65,"Heart In Hand","Brenda Lee",15,8,"Pop"
"336",485,"1977-05-07",31,30,"Rich Girl","Daryl Hall & John Oates",1,20,"Rock"
"337",490,"1974-07-06",51,51,"My Thang","James Brown",29,13,"R&B/Soul"
"338",492,"1981-03-21",14,15,"Don't Stand So Close To Me","The Police",10,18,"Rock"
"339",494,"1981-10-10",94,96,"I Don't Need You","Kenny Rogers",3,18,"Country"
"340",497,"1974-08-31",82,81,"City In The Sky","The Staple Singers",79,7,"R&B/Soul"
"341",500,"1959-04-27",93,93,"The Battle Of New Orleans","Johnny Horton",1,20,"Country"
"342",501,"1978-07-01",17,17,"Last Dance","Donna Summer",3,21,"R&B/Soul"
"343",502,"1965-07-03",20,21,"I've Been Loving You Too Long (To Stop Now)","Otis Redding",21,11,"R&B/Soul"
"344",503,"1991-11-09",30,31,"Good Vibrations","Marky Mark",1,19,"Rock"
"345",504,"1974-01-19",1,2,"The Joker","Steve Miller Band",1,20,"Rock"
"346",506,"1977-02-19",33,33,"After The Lovin'","Engelbert Humperdinck",8,19,"Pop"
"347",507,"1980-01-19",22,22,"Still","Commodores",1,20,"Pop"
"348",508,"1973-09-29",58,58,"For Ol' Times Sake","Elvis Presley",41,9,"R&B/Soul"
"349",510,"1964-03-28",96,97,"How Blue Can You Get","B.B. King",97,2,"R&B/Soul"
"350",511,"1962-06-09",61,61,"Oh My Angel","Bertha Tillman",61,9,"R&B/Soul"
"351",512,"1982-06-12",67,66,"Going To A Go-Go","The Rolling Stones",25,11,"R&B/Soul"
"352",515,"1961-07-03",51,50,"Fool That I Am","Etta James",50,6,"R&B/Soul"
"353",516,"1963-07-20",31,33,"Those Lazy-Hazy-Crazy Days Of Summer","Nat ""King"" Cole",6,12,"Jazz"
"354",517,"1981-05-30",16,16,"All Those Years Ago","George Harrison",2,16,"Rock"
"355",518,"1969-10-18",64,64,"Suite: Judy Blue Eyes","Crosby, Stills & Nash",21,12,"Rock"
"356",521,"1990-08-11",86,85,"The Humpty Dance","Digital Underground",11,23,"Hip-hop"
"357",522,"1976-08-21",20,20,"Young Hearts Run Free","Candi Staton",20,16,"R&B/Soul"
"358",524,"1985-05-11",78,80,"Private Dancer","Tina Turner",7,18,"Pop"
"359",525,"1975-05-10",44,44,"Trampled Under Foot","Led Zeppelin",38,7,"Rock"
"360",526,"1986-10-04",60,62,"Love Comes Quickly","Pet Shop Boys",62,8,"Pop"
"361",528,"1969-07-05",8,7,"Crystal Blue Persuasion","Tommy James",2,15,"R&B/Soul"
"362",530,"1990-12-22",87,89,"This House","Tracie Spencer",3,23,"Pop"
"363",531,"1985-12-14",59,58,"Running Up That Hill","Kate Bush",30,20,"Rock"
"364",533,"1961-08-28",65,65,"Baby, You're Right","James Brown",49,4,"R&B/Soul"
"365",537,"1970-09-19",34,35,"Indiana Wants Me","R. Dean Taylor",5,15,"Rock"
"366",539,"1980-12-06",48,48,"Stop This Game","Cheap Trick",48,12,"Rock"
"367",540,"1979-12-22",93,92,"With You I'm Born Again","Billy Preston",4,29,"R&B/Soul"
"368",542,"1984-10-27",6,6,"Wake Me Up Before You Go-Go","Wham!",1,24,"Pop"
"369",543,"1968-12-28",31,30,"If I Can Dream","Elvis Presley",12,13,"R&B/Soul"
"370",545,"1973-10-20",85,85,"Redneck Friend","Jackson Browne",85,10,"Rock"
"371",546,"1977-03-12",80,79,"Disco Inferno","The Trammps",11,29,"R&B/Soul"
"372",547,"1978-09-02",54,54,"Almost Like Being In Love","Michael Johnson",32,12,"Country"
"373",549,"1966-04-30",93,92,"Double Shot (Of My Baby's Love)","Swingin' Medallions",17,13,"Rock"
"374",550,"1978-12-23",69,71,"Shake Your Groove Thing","Peaches & Herb",5,22,"R&B/Soul"
"375",552,"1979-08-04",40,40,"Born To Be Alive","Patrick Hernandez",16,19,"R&B/Soul"
"376",553,"1983-06-25",49,48,"Maniac","Michael Sembello",1,22,"Pop"
"377",554,"1963-01-12",98,100,"Walk Right In","The Moments",82,5,"Folk"
"378",555,"1978-08-12",70,69,"Surrender","Cheap Trick",62,8,"Rock"
"379",559,"1979-01-27",31,31,"Baby I'm Burnin'","Dolly Parton",25,14,"R&B/Soul"
"380",560,"1970-05-30",4,4,"Cecilia","Simon & Garfunkel",4,13,"Rock"
"381",561,"1980-08-16",22,24,"Boulevard","Jackson Browne",19,16,"Rock"
"382",562,"1961-07-10",56,54,"Fool That I Am","Etta James",50,6,"R&B/Soul"
"383",565,"1967-09-09",87,89,"Judy","Elvis Presley",78,5,"Rock"
"384",567,"1989-03-04",25,25,"The Look","Roxette",1,19,"Rock"
"385",568,"1979-05-19",64,65,"Dance Away","Roxy Music",44,9,"Rock"
"386",570,"1963-06-15",76,75,"Six Days On The Road","Dave Dudley",32,11,"Country"
"387",571,"1961-05-29",65,65,"Quarter To Three","Gary U.S. Bonds",1,15,"R&B/Soul"
"388",572,"1986-01-18",39,38,"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")","Baltimora",13,38,"Pop"
"389",573,"1975-07-19",59,59,"Oh Me, Oh My (Dreams In My Arms)","Al Green",48,6,"R&B/Soul"
"390",574,"1985-05-11",34,34,"Along Comes A Woman","Chicago",14,16,"Rock"
"391",577,"1970-10-10",85,84,"Let's Work Together","Canned Heat",26,11,"R&B/Soul"
"392",578,"1989-01-21",27,27,"Giving You The Best That I Got","Anita Baker",3,22,"R&B/Soul"
"393",579,"1965-07-31",86,86,"Heart Full Of Soul","The Yardbirds",9,12,"Rock"
"394",580,"1962-05-26",75,75,"I Found A Love","The Falcons",75,9,"R&B/Soul"
"395",582,"1971-04-03",52,50,"I Don't Blame You At All","The Miracles",18,12,"Pop"
"396",583,"1961-08-07",57,58,"Amor","Ben E. King",18,10,"Others"
"397",585,"1968-12-07",30,28,"Too Weak To Fight","Clarence Carter",13,15,"R&B/Soul"
"398",587,"1965-08-14",6,6,"Unchained Melody","The Righteous Brothers",4,13,"R&B/Soul"
"399",588,"1978-01-14",10,10,"We Are The Champions","Queen",4,27,"Rock"
"400",589,"1982-10-09",36,36,"Southern Cross","Crosby, Stills & Nash",18,17,"Rock"
"401",590,"1987-02-07",23,23,"Talk To Me","Chico DeBarge",21,20,"R&B/Soul"
"402",591,"1980-03-15",99,99,"The Long Run","Eagles",8,15,"Rock"
"403",592,"1989-03-04",42,43,"All She Wants Is","Duran Duran",22,13,"Rock"
"404",594,"1982-10-16",74,73,"Situation","Yaz",73,8,"Pop"
"405",596,"1962-02-10",19,19,"Letter Full Of Tears","Gladys Knight & The Pips",19,11,"R&B/Soul"
"406",597,"1964-11-07",31,30,"Time Is On My Side","The Rolling Stones",6,13,"Rock"
"407",598,"1964-04-25",34,32,"Wish Someone Would Care","Irma Thomas",17,12,"R&B/Soul"
"408",599,"1991-07-27",99,99,"Hey Stoopid","Alice Cooper",78,5,"Rock"
"409",600,"1985-12-21",54,52,"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")","Baltimora",13,38,"Pop"
"410",601,"1974-09-28",88,90,"I Can Help","Billy Swan",1,18,"Pop"
"411",603,"1959-08-10",53,55,"Sleep Walk","Santo & Johnny",1,18,"Rock"
"412",605,"1970-03-28",45,44,"The Thrill Is Gone","B.B. King",15,14,"R&B/Soul"
"413",606,"1973-12-29",58,57,"I Love","Tom T. Hall",12,16,"Country"
"414",607,"1974-12-21",50,49,"Everlasting Love","Carl Carlton",6,15,"R&B/Soul"
"415",608,"1982-03-06",18,18,"Harden My Heart","Quarterflash",3,24,"Rock"
"416",610,"1978-04-08",44,44,"Rocket Ride","Kiss",39,10,"Rock"
"417",614,"1969-06-28",59,60,"I Want To Take You Higher","Sly & The Family Stone",38,16,"R&B/Soul"
"418",615,"1978-09-23",9,9,"Hot Child In The City","Nick Gilder",1,31,"Rock"
"419",616,"1968-06-01",2,1,"Mrs. Robinson","Simon & Garfunkel",1,13,"Rock"
"420",617,"1961-09-04",31,32,"(Marie's the Name) His Latest Flame","Elvis Presley",4,11,"Rock"
"421",618,"1964-07-04",47,46,"Everybody Loves Somebody","Dean Martin",1,15,"Pop"
"422",619,"1967-12-23",22,23,"If I Could Build My Whole World Around You","Marvin Gaye,Tammi Terrell",10,11,"R&B/Soul"
"423",620,"1987-07-25",82,80,"Twistin  The Night Away (From ""Innerspace"")","Rod Stewart",80,4,"R&B/Soul"
"424",621,"1984-08-18",1,1,"Ghostbusters","Ray Parker Jr.",1,21,"Pop"
"425",623,"1970-09-05",83,82,"It's Only Make Believe","Glen Campbell",10,12,"Country"
"426",625,"1973-09-01",29,30,"Higher Ground","Stevie Wonder",4,14,"R&B/Soul"
"427",627,"1990-05-26",91,92,"Nick Of Time","Bonnie Raitt",92,3,"Rock"
"428",628,"1990-03-31",44,43,"Hold On","Wilson Phillips",1,25,"Rock"
"429",629,"1983-04-02",14,14,"Beat It","Michael Jackson",1,25,"Rock"
"430",631,"1971-09-04",36,37,"If You Really Love Me","Stevie Wonder",8,14,"R&B/Soul"
"431",633,"1983-03-05",72,71,"Maneater","Daryl Hall & John Oates",1,23,"Rock"
"432",634,"1987-04-25",47,48,"Brass Monkey","Beastie Boys",48,10,"Hip-hop"
"433",635,"1964-07-04",21,22,"The Little Old Lady (From Pasadena)","Jan & Dean",3,11,"Rock"
"434",636,"1977-02-05",25,24,"After The Lovin'","Engelbert Humperdinck",8,19,"Pop"
"435",637,"1983-08-13",22,23,"Human Nature","Michael Jackson",7,14,"Rock"
"436",638,"1963-05-04",45,45,"Out Of My Mind","Johnny Tillotson",24,10,"Pop"
"437",640,"1973-06-09",79,77,"Think","James Brown",33,16,"R&B/Soul"
"438",643,"1967-01-28",99,100,"The People In Me","The Music Machine",66,8,"Rock"
"439",645,"1968-03-23",1,1,"(Sittin' On) The Dock Of The Bay","Otis Redding",1,16,"R&B/Soul"
"440",647,"1987-03-21",85,85,"Caught Up In The Rapture","Anita Baker",37,18,"Pop"
"441",648,"1988-02-20",3,2,"What Have I Done To Deserve This?","Pet Shop Boys",2,12,"Pop"
"442",649,"1970-11-07",61,61,"Stoned Love","The Supremes",7,14,"R&B/Soul"
"443",650,"1964-03-28",8,8,"Hello, Dolly!","Louis Armstrong",1,22,"Pop"
"444",651,"1983-01-29",80,78,"It's Raining Men","The Weather Girls",46,11,"R&B/Soul"
"445",654,"1982-01-30",75,73,"Tainted Love","Soft Cell",8,43,"R&B/Soul"
"446",655,"1976-08-28",67,66,"Sunrise","Eric Carmen",34,10,"Rock"
"447",656,"1980-08-16",79,79,"Years From Now","Dr. Hook",51,9,"Pop"
"448",657,"1988-08-13",89,90,"In Your Soul","Corey Hart",38,10,"Pop"
"449",658,"1964-11-14",23,22,"Ask Me","Elvis Presley",12,12,"Pop"
"450",659,"1982-02-06",4,4,"Harden My Heart","Quarterflash",3,24,"Rock"
"451",660,"1988-01-02",16,18,"There's The Girl","Heart",12,17,"Rock"
"452",662,"1972-01-29",44,45,"Looking For A Love","The J. Geils Band",39,10,"Rock"
"453",663,"1980-08-09",61,62,"He's So Shy","Pointer Sisters",3,26,"R&B/Soul"
"454",664,"1972-01-22",40,39,"Looking For A Love","The J. Geils Band",39,10,"Rock"
"455",668,"1975-02-22",42,41,"Big Yellow Taxi","Joni Mitchell",24,16,"Rock"
"456",669,"1966-07-30",43,43,"You Can't Roller Skate In A Buffalo Herd","Roger Miller",40,6,"Country"
"457",670,"1991-06-08",10,12,"Silent Lucidity","Queensryche",9,17,"Rock"
"458",671,"1977-11-19",78,80,"Heaven's Just A Sin Away","The Kendalls",69,7,"Country"
"459",672,"1963-05-25",60,59,"Baby Workout","Jackie Wilson",5,12,"Rock"
"460",674,"1963-12-14",13,13,"Sugar Shack","The Fireballs",1,15,"Rock"
"461",675,"1968-11-23",84,85,"With A Little Help From My Friends","Joe Cocker",68,6,"Rock"
"462",677,"1971-06-05",20,20,"Don't Knock My Love - Pt. 1","Wilson Pickett",13,12,"R&B/Soul"
"463",678,"1964-10-31",95,95,"Chained And Bound","Otis Redding",70,7,"R&B/Soul"
"464",680,"1981-08-15",51,51,"All Those Years Ago","George Harrison",2,16,"Rock"
"465",681,"1987-06-27",38,38,"With Or Without You","U2",1,18,"Rock"
"466",682,"1972-08-19",1,2,"Brandy (You're A Fine Girl)","Looking Glass",1,16,"Pop"
"467",683,"1982-01-16",70,72,"That Girl","Stevie Wonder",4,18,"Pop"
"468",684,"1973-08-11",11,11,"Feelin' Stronger Every Day","Chicago",10,16,"Rock"
"469",685,"1991-05-11",10,11,"Silent Lucidity","Queensryche",9,17,"Rock"
"470",687,"1988-01-23",2,2,"Need You Tonight","INXS",1,24,"Rock"
"471",688,"1968-08-24",70,72,"On The Road Again","Canned Heat",16,11,"Rock"
"472",689,"1964-10-10",82,82,"The Anaheim, Azusa & Cucamonga Sewing Circle, Book Review And Timing Association","Jan & Dean",77,3,"Rock"
"473",690,"1981-07-04",22,23,"Queen Of Hearts","Juice Newton",2,27,"Country"
"474",691,"1966-12-10",52,51,"Tell It Like It Is","Aaron Neville",2,14,"R&B/Soul"
"475",692,"1973-01-27",75,77,"Fever","Rita Coolidge",76,7,"R&B/Soul"
"476",695,"1980-07-26",33,33,"Boulevard","Jackson Browne",19,16,"Rock"
"477",696,"1965-06-05",76,78,"Too Many Rivers","Brenda Lee",13,13,"Country"
"478",698,"1985-08-17",83,85,"People Get Ready","Jeff Beck",48,10,"R&B/Soul"
"479",699,"1979-03-10",81,82,"Heartaches","Bachman-Turner Overdrive",60,7,"Rock"
"480",700,"1970-11-07",74,72,"Does Anybody Really Know What Time It Is?","Chicago",7,13,"Jazz"
"481",701,"1983-07-23",54,55,"White Wedding","Billy Idol",36,13,"Rock"
"482",705,"1977-08-20",69,67,"Baby Don't Change Your Mind","Gladys Knight & The Pips",52,11,"R&B/Soul"
"483",706,"1972-12-16",19,20,"Living In The Past","Jethro Tull",11,14,"Rock"
"484",707,"1959-03-16",61,60,"This Should Go On Forever","Rod Bernard",20,11,"Pop"
"485",708,"1976-04-17",31,29,"Sara Smile","Daryl Hall & John Oates",4,28,"R&B/Soul"
"486",709,"1987-02-28",56,56,"Caught Up In The Rapture","Anita Baker",37,18,"Pop"
"487",711,"1981-09-19",37,36,"Some Days Are Diamonds (Some Days Are Stone)","John Denver",36,20,"Country"
"488",713,"1971-09-18",56,58,"Ko-Ko Joe","Jerry Reed",51,6,"Country"
"489",716,"1981-07-11",36,35,"Lady (You Bring Me Up)","Commodores",8,22,"R&B/Soul"
"490",720,"1972-12-23",47,46,"Rocky Mountain High","John Denver",9,19,"Rock"
"491",721,"1977-12-24",98,100,"Help Is On Its Way","Little River Band",14,22,"Rock"
"492",722,"1962-06-23",34,36,"Where Are You","Dinah Washington",36,10,"R&B/Soul"
"493",723,"1969-03-15",67,67,"Maybe Tomorrow","Badfinger",67,6,"Pop"
"494",725,"1970-12-12",22,23,"For The Good Times","Ray Price",11,24,"Pop"
"495",726,"1963-01-12",81,79,"Would It Make Any Difference To You","Etta James",64,7,"R&B/Soul"
"496",727,"1965-03-27",2,4,"Eight Days A Week","The Beatles",1,10,"Rock"
"497",728,"1976-03-13",55,55,"Breaking Up Is Hard To Do","Neil Sedaka",1,25,"R&B/Soul"
"498",729,"1986-05-24",42,42,"Pretty In Pink","Psychedelic Furs",41,11,"Rock"
"499",730,"1961-09-04",30,32,"(Marie's the Name) His Latest Flame","Elvis Presley",4,11,"Rock"
"500",731,"1977-04-16",43,42,"Lucille","Kenny Rogers",5,19,"Country"
"501",733,"1958-08-18",16,17,"Bird Dog","The Everly Brothers",2,19,"Country"
"502",734,"1965-11-13",38,39,"I Will","Dean Martin",10,10,"Pop"
"503",735,"1976-09-25",16,15,"Getaway","Earth, Wind & Fire",12,19,"R&B/Soul"
"504",736,"1982-07-10",13,13,"Do I Do","Stevie Wonder",13,14,"R&B/Soul"
"505",737,"1978-09-02",52,50,"Shadow Dancing","Andy Gibb",1,25,"R&B/Soul"
"506",740,"1959-10-12",48,46,"Living Doll","Cliff Richard",30,13,"Pop"
"507",741,"1983-10-01",63,62,"Love Is A Battlefield","Pat Benatar",5,22,"Rock"
"508",742,"1990-05-26",52,50,"The Power","Snap",2,22,"R&B/Soul"
"509",743,"1979-06-16",48,47,"One Way Or Another","Blondie",24,14,"Rock"
"510",746,"1958-12-15",20,18,"That Old Black Magic","Louis Prima & Keely Smith",18,13,"Jazz"
"511",747,"1989-01-14",52,52,"Baby Can I Hold You","Tracy Chapman",48,12,"Folk"
"512",748,"1965-12-25",60,61,"Crying Time","Ray Charles",6,15,"Country"
"513",749,"1973-11-24",39,40,"D'yer Mak'er","Led Zeppelin",20,16,"Rock"
"514",751,"1971-10-02",86,86,"I'd Love To Change The World","Ten Years After",40,12,"Rock"
"515",752,"1971-12-25",58,57,"Levon","Elton John",24,10,"Rock"
"516",755,"1973-11-24",49,51,"Smokin' In The Boy's Room","Brownsville Station",3,19,"Rock"
"517",757,"1990-11-24",70,71,"World In My Eyes","Depeche Mode",52,10,"Pop"
"518",758,"1974-08-10",45,45,"Come Monday","Jimmy Buffett",30,14,"Country"
"519",759,"1968-03-30",76,74,"Foggy Mountain Breakdown","Flatt & Scruggs",55,12,"Country"
"520",761,"1977-07-09",62,63,"Walk Right In","Dr. Hook",46,10,"Folk"
"521",762,"1973-12-08",62,64,"Walk Like A Man","Grand Funk Railroad",19,12,"Rock"
"522",765,"1969-02-01",33,33,"Too Weak To Fight","Clarence Carter",13,15,"R&B/Soul"
"523",766,"1964-12-05",11,12,"Ask Me","Elvis Presley",12,12,"Pop"
"524",767,"1974-08-03",4,5,"The Night Chicago Died","Paper Lace",1,17,"Pop"
"525",768,"1982-03-06",6,5,"That Girl","Stevie Wonder",4,18,"Pop"
"526",769,"1984-11-10",14,12,"All Through The Night","Cyndi Lauper",5,19,"Pop"
"527",770,"1969-03-15",85,84,"Hair","The Cowsills",2,15,"Rock"
"528",772,"1986-08-23",39,39,"Press","Paul McCartney",21,11,"Rock"
"529",773,"1959-10-19",33,33,"I Want To Walk You Home","Fats Domino",8,13,"R&B/Soul"
"530",775,"1991-08-17",69,69,"Walking In Memphis","Marc Cohn",13,23,"Rock"
"531",776,"1985-04-20",16,14,"Along Comes A Woman","Chicago",14,16,"Rock"
"532",777,"1965-10-30",15,14,"Rescue Me","Fontella Bass",4,13,"R&B/Soul"
"533",779,"1974-03-02",50,51,"A Very Special Love Song","Charlie Rich",11,14,"Country"
"534",780,"1964-10-24",64,65,"Time Is On My Side","The Rolling Stones",6,13,"Rock"
"535",781,"1963-04-06",36,37,"On Broadway","The Drifters",9,10,"R&B/Soul"
"536",782,"1991-02-23",63,65,"Because I Love You (The Postman Song)","Stevie B",1,23,"Pop"
"537",783,"1978-12-02",26,28,"Hot Child In The City","Nick Gilder",1,31,"Rock"
"538",785,"1966-03-05",92,90,"(You're My) Soul And Inspiration","The Righteous Brothers",1,13,"Pop"
"539",787,"1958-09-01",58,58,"The Ways Of A Woman In Love","Johnny Cash",24,11,"Rock"
"540",788,"1960-12-31",2,3,"Last Date","Floyd Cramer",2,20,"Country"
"541",789,"1962-04-28",40,40,"Hey! Baby","Bruce Channel",1,14,"Pop"
"542",790,"1962-06-16",21,21,"Everybody Loves Me But You","Brenda Lee",6,11,"Others"
"543",791,"1988-03-05",12,11,"Hungry Eyes (From ""Dirty Dancing"")","Eric Carmen",4,24,"Rock"
"544",792,"1959-06-01",38,40,"Almost Grown","Chuck Berry",32,12,"Rock"
"545",793,"1978-01-21",64,65,"My Way","Elvis Presley",22,12,"Pop"
"546",794,"1985-01-12",90,88,"Catch My Fall","Billy Idol",50,11,"Rock"
"547",795,"1976-05-15",35,35,"I Want You","Marvin Gaye",15,13,"R&B/Soul"
"548",796,"1974-11-23",29,27,"You're The First, The Last, My Everything","Barry White",2,15,"R&B/Soul"
"549",797,"1977-06-25",51,51,"I Don't Love You Anymore","Teddy Pendergrass",41,14,"Country"
"550",798,"1981-09-19",39,39,"Straight From The Heart","The Allman Brothers Band",39,11,"Rock"
"551",800,"1976-08-07",71,73,"Magic Man","Heart",9,23,"Rock"
"552",802,"1980-09-20",87,86,"Theme From The Dukes Of Hazzard (Good Ol' Boys)","Waylon Jennings",21,23,"Country"
"553",803,"1986-09-13",38,40,"True Colors","Cyndi Lauper",1,20,"Pop"
"554",804,"1979-01-06",16,15,"September","Earth, Wind & Fire",8,17,"R&B/Soul"
"555",805,"1958-09-15",6,5,"Just A Dream","Jimmy Clanton",4,18,"Jazz"
"556",806,"1977-11-26",7,7,"We're All Alone","Rita Coolidge",7,20,"Rock"
"557",807,"1978-12-02",63,64,"You Took The Words Right Out Of My Mouth","Meat Loaf",39,13,"Rock"
"558",809,"1984-11-03",87,88,"On The Wings Of A Nightingale","Everly Brothers",50,12,"Pop"
"559",810,"1990-09-15",3,5,"Unskinny Bop","Poison",3,19,"Rock"
"560",811,"1980-08-30",97,98,"Let's Get Serious","Jermaine Jackson",9,23,"R&B/Soul"
"561",812,"1981-12-19",74,72,"Super Freak (Part I)","Rick James",16,24,"R&B/Soul"
"562",813,"1967-04-22",32,33,"California Nights","Lesley Gore",16,14,"Pop"
"563",814,"1960-03-21",67,67,"Big Iron","Marty Robbins",26,10,"Jazz"
"564",816,"1960-03-14",18,17,"Where Or When","Dion",3,16,"R&B/Soul"
"565",818,"1984-11-10",8,8,"Blue Jean","David Bowie",8,18,"Rock"
"566",819,"1971-08-07",10,10,"Mercy Mercy Me (The Ecology)","Marvin Gaye",4,12,"R&B/Soul"
"567",821,"1989-12-30",7,8,"Just Like Jesse James","Cher",8,18,"Rock"
"568",822,"1959-02-09",14,12,"I Cried A Tear","LaVern Baker",6,21,"R&B/Soul"
"569",823,"1978-02-25",77,79,"Lovely Day","Bill Withers",30,12,"R&B/Soul"
"570",824,"1976-03-27",31,29,"50 Ways To Leave Your Lover","Paul Simon",1,17,"Rock"
"571",827,"1990-02-10",28,29,"Just A Friend","Biz Markie",9,22,"Hip-hop"
"572",828,"1968-07-20",46,47,"Journey To The Center Of The Mind","The Amboy Dukes",16,12,"Rock"
"573",830,"1981-10-24",11,11,"Tryin' To Live My Life Without You","Bob Seger",5,19,"R&B/Soul"
"574",831,"1980-03-08",48,48,"Sexy Eyes","Dr. Hook",5,21,"R&B/Soul"
"575",832,"1982-01-23",32,30,"Through The Years","Kenny Rogers",13,15,"Country"
"576",833,"1986-08-09",83,83,"You Can Call Me Al","Paul Simon",23,29,"Rock"
"577",834,"1969-07-12",4,3,"Good Morning Starshine","Oliver",3,13,"Rock"
"578",837,"1986-09-13",37,35,"Sweet Love","Anita Baker",8,22,"R&B/Soul"
"579",838,"1962-08-18",77,79,"Surfin' Safari","The Beach Boys",14,17,"Rock"
"580",839,"1975-07-19",23,23,"When Will I Be Loved","Linda Ronstadt",2,19,"Country"
"581",841,"1968-10-05",22,23,"Born To Be Wild","Steppenwolf",2,13,"Rock"
"582",842,"1973-11-03",38,40,"Goodbye Yellow Brick Road","Elton John",2,17,"Rock"
"583",843,"1989-11-11",45,47,"If I Could Turn Back Time","Cher",3,23,"Rock"
"584",844,"1983-08-20",53,54,"Burning Down The House","Talking Heads",9,20,"Rock"
"585",845,"1988-01-23",3,4,"Got My Mind Set On You","George Harrison",1,22,"Rock"
"586",846,"1979-06-02",48,49,"Dance Away","Roxy Music",44,9,"Rock"
"587",847,"1972-11-11",55,55,"Sweet Surrender","Bread",15,11,"Rock"
"588",848,"1965-10-09",18,18,"Liar, Liar","The Castaways",12,14,"Rock"
"589",849,"1988-07-09",28,28,"Do You Love Me","The Contours",3,34,"Rock"
"590",850,"1984-04-28",64,62,"Jump (for My Love)","The Pointer Sisters",3,24,"R&B/Soul"
"591",852,"1969-05-03",82,80,"Bad Moon Rising","Creedence Clearwater Revival",2,14,"Rock"
"592",853,"1964-02-15",56,54,"I Saw Her Standing There","The Beatles",14,11,"Rock"
"593",856,"1991-07-20",67,67,"I Like The Way (The Kissing Game)","Hi-Five",1,23,"R&B/Soul"
"594",857,"1970-09-12",34,32,"Get Up (I Feel Like Being Like A) Sex Machine (Part 1)","James Brown",15,9,"R&B/Soul"
"595",859,"1980-09-13",42,43,"Make A Little Magic","Nitty Gritty Dirt Band",25,16,"Country"
"596",861,"1982-11-27",68,67,"You've Got Another Thing Comin'","Judas Priest",67,7,"Rock"
"597",863,"1961-02-06",33,32,"Wheels","The String-A-Longs",3,16,"Others"
"598",864,"1981-05-30",48,48,"Elvira","Oak Ridge Boys",5,22,"Country"
"599",865,"1982-03-20",24,24,"Don't Talk To Strangers","Rick Springfield",2,21,"Pop"
"600",870,"1985-11-30",66,65,"And She Was","Talking Heads",54,20,"Rock"
"601",872,"1975-11-22",28,28,"Secret Love","Freddy Fender",20,11,"Pop"
